method;Pearson R;
;valence;;;arousal;;;
16;0.4;0.4;0.5;0.4;0.4;0.4;
17;0.6;0.6;0.6;0.7;0.5;0.6;
18;0.7;0.6;0.5;0.6;0.6;0.6;
19;0.4;0.7;0.6;0.8;0.8;0.7;
20;0.4;0.2;0.5;0.7;0.7;0.7;
21;0.4;0.6;0.4;0.4;0.6;0.6;
22;0.9;0.6;0.8;1.0;1.0;0.8;
23;0.6;0.6;0.6;0.7;0.7;0.7;
24;0.4;0.3;0.5;0.8;0.7;0.8;
25;0.8;0.8;0.7;0.4;0.6;0.6;
26;0.7;0.7;0.7;0.6;0.4;0.6;
27;0.7;0.9;0.7;0.6;0.5;0.6;
28;0.3;0.4;0.6;0.6;0.6;0.6;
29;0.6;0.6;0.7;0.6;0.6;0.5;
30;0.5;0.4;0.5;0.6;0.6;0.7;
31;0.3;0.5;0.7;0.5;0.5;0.5;



method;Lasso regression;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.7;0.5;0.6;0.8;0.8;0.6;
1;0.7;0.8;0.5;0.8;0.6;0.3;
2;0.8;0.8;0.2;0.8;0.7;0.8;
3;0.5;0.7;0.5;0.8;0.6;0.6;
4;0.8;0.5;0.4;0.8;0.6;0.5;
5;0.9;0.9;0.8;0.8;0.8;0.6;
6;0.9;0.9;0.6;0.5;0.4;0.4;
7;0.5;0.5;0.6;0.7;0.8;0.6;
8;0.9;0.8;0.7;0.8;0.8;0.7;
9;0.7;0.6;0.5;0.9;0.9;0.7;
10;0.7;0.8;0.8;0.7;0.5;0.5;
11;0.8;0.7;0.4;0.7;0.7;0.7;
12;0.5;0.6;0.5;0.8;0.8;0.8;
13;0.8;0.8;0.4;0.5;0.5;0.5;
14;0.7;0.9;0.2;0.8;0.6;0.7;
15;0.6;0.7;0.6;0.6;0.7;0.6;
16;0.5;0.5;0.5;0.6;0.6;0.5;
17;0.4;0.4;0.4;0.5;0.6;0.7;
18;0.6;0.6;0.4;0.6;0.6;0.6;
19;0.9;0.9;0.9;0.7;0.8;0.7;
20;0.6;0.6;0.6;0.7;0.7;0.7;
21;0.5;0.6;0.4;0.7;0.8;0.6;
22;0.6;0.6;0.7;1.0;0.8;0.9;
23;0.7;0.7;0.5;0.7;0.7;0.7;
24;0.2;0.5;0.5;0.8;0.8;0.8;
25;0.8;0.8;0.5;0.7;0.8;0.7;
26;0.7;0.7;0.7;0.7;0.6;0.5;
27;0.9;0.8;0.4;0.4;0.7;0.5;
28;0.8;0.9;0.5;1.0;1.0;0.6;
29;0.6;0.8;0.7;0.5;0.6;0.6;
30;0.6;0.6;0.7;0.7;0.8;0.6;
31;0.8;0.9;0.4;0.5;0.4;0.5;



method;Ridgde regression;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.8;0.6;0.5;0.7;0.7;0.5;
1;0.4;0.5;0.4;0.6;0.3;0.5;
2;0.7;0.7;0.5;0.7;0.7;0.8;
3;0.5;0.3;0.5;0.5;0.5;0.5;
4;0.5;0.7;0.6;0.5;0.8;0.4;
5;0.6;0.5;0.9;0.8;0.7;0.4;
6;0.7;0.7;0.7;0.5;0.4;0.5;
7;0.5;0.6;0.4;0.8;0.6;0.5;
8;0.5;0.5;0.7;0.8;0.8;0.6;
9;0.6;0.6;0.5;0.9;0.9;0.8;
10;0.6;0.6;0.7;0.5;0.5;0.6;
11;0.6;0.5;0.3;0.7;0.7;0.7;
12;0.5;0.4;0.4;0.8;0.8;0.8;
13;0.5;0.5;0.4;0.5;0.5;0.5;
14;0.4;0.5;0.2;0.8;0.3;0.4;
15;0.8;0.8;0.4;0.6;0.5;0.4;
16;0.4;0.4;0.4;0.4;0.4;0.4;
17;0.6;0.6;0.4;0.7;0.5;0.6;
18;0.7;0.6;0.5;0.6;0.6;0.6;
19;0.5;0.7;0.6;0.8;0.8;0.7;
20;0.6;0.2;0.5;0.7;0.7;0.7;
21;0.6;0.6;0.3;0.6;0.6;0.7;
22;0.9;0.6;0.6;1.0;1.0;0.8;
23;0.6;0.6;0.6;0.7;0.7;0.7;
24;0.4;0.3;0.5;0.8;0.7;0.8;
25;0.8;0.8;0.7;0.4;0.6;0.6;
26;0.7;0.7;0.7;0.6;0.6;0.6;
27;0.7;0.9;0.5;0.6;0.5;0.6;
28;0.4;0.4;0.4;0.6;0.6;0.6;
29;0.6;0.6;0.7;0.6;0.6;0.6;
30;0.4;0.4;0.5;0.6;0.6;0.6;
31;0.3;0.5;0.5;0.5;0.5;0.5;



method;SVM;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.6;0.6;0.5;0.8;0.5;0.5;
1;0.7;0.9;0.5;0.6;0.7;0.5;
2;0.8;0.6;0.8;0.7;0.7;0.8;
3;0.6;0.4;0.5;0.8;0.8;0.6;
4;0.7;0.5;0.5;0.7;0.7;0.6;
5;0.7;0.7;0.9;0.6;0.4;0.4;
6;0.6;0.6;0.6;0.5;0.4;0.5;
7;0.7;0.5;0.7;0.7;0.7;0.7;
8;0.6;0.7;0.7;0.7;0.6;0.6;
9;1.0;1.0;0.6;0.8;0.8;0.6;
10;0.8;0.6;0.7;0.7;0.7;0.5;
11;0.7;0.6;0.5;0.7;0.7;0.7;
12;0.6;0.6;0.4;0.8;0.8;0.8;
13;0.7;0.6;0.6;0.8;0.6;0.5;
14;0.6;0.7;0.5;0.8;0.5;0.7;
15;0.8;0.9;0.6;0.5;0.9;0.5;
16;0.6;0.5;0.4;0.4;0.6;0.5;
17;0.5;0.8;0.6;0.8;0.7;0.6;
18;0.8;0.8;0.6;0.6;0.6;0.6;
19;0.8;0.9;0.7;0.8;0.8;0.7;
20;0.6;0.6;0.6;0.7;0.7;0.6;
21;0.5;0.5;0.4;0.8;0.6;0.8;
22;0.5;0.4;0.7;1.0;1.0;1.0;
23;0.6;0.6;0.6;0.7;0.7;0.7;
24;0.4;0.5;0.5;0.8;0.8;0.8;
25;0.8;0.8;0.8;0.4;0.6;0.7;
26;0.7;0.7;0.8;0.5;0.5;0.5;
27;0.7;0.7;0.6;0.3;0.4;0.3;
28;0.3;0.3;0.5;0.6;0.6;0.7;
29;0.8;0.8;0.7;0.7;0.8;0.6;
30;0.7;0.4;0.6;0.8;0.8;0.7;
31;0.5;0.3;0.6;0.4;0.4;0.5;



method;Random Forest;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.7;0.5;0.4;0.8;0.9;0.5;
1;0.6;0.7;0.6;0.6;0.5;0.6;
2;0.8;0.9;0.7;0.8;0.8;0.8;
3;0.6;0.8;0.4;0.7;0.9;0.6;
4;0.8;0.8;0.7;0.7;0.5;0.6;
5;0.9;0.8;0.9;0.9;0.8;0.7;
6;0.8;0.7;0.7;0.8;0.6;0.5;
7;0.3;0.6;0.8;0.6;0.7;0.4;
8;0.8;0.8;0.6;0.7;0.8;0.7;
9;0.8;0.8;0.5;0.8;0.8;0.7;
10;0.7;0.8;0.6;0.6;0.7;0.5;
11;0.8;0.8;0.3;0.7;0.7;0.7;
12;0.6;0.6;0.4;0.8;0.8;0.8;
13;0.8;0.8;0.6;0.7;0.7;0.5;
14;0.8;0.8;0.5;0.6;0.6;0.8;
15;0.6;0.6;0.8;0.5;0.9;0.6;
16;0.8;0.9;0.5;0.9;0.9;0.5;
17;0.6;0.5;0.5;0.8;0.5;0.5;
18;0.7;0.7;0.5;0.5;0.6;0.6;
19;0.9;0.8;0.8;0.7;0.7;0.7;
20;0.6;0.8;0.7;0.7;0.7;0.6;
21;0.7;0.6;0.4;0.6;0.7;0.5;
22;0.9;0.5;0.9;1.0;0.9;1.0;
23;0.6;0.7;0.5;0.7;0.7;0.7;
24;0.8;0.7;0.7;0.8;0.8;0.6;
25;0.9;0.9;0.8;0.7;0.8;0.2;
26;0.9;0.8;0.7;0.5;0.5;0.5;
27;0.8;0.7;0.4;0.5;0.6;0.7;
28;0.8;0.6;0.4;1.0;0.9;0.5;
29;0.8;0.9;0.7;0.5;0.5;0.6;
30;0.6;0.6;0.7;0.6;0.8;0.6;
31;0.8;0.8;0.6;0.6;0.7;0.5;



method;STD;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.7;0.5;0.4;0.9;0.8;0.5;
1;0.6;0.7;0.6;0.6;0.6;0.6;
2;0.8;0.9;0.7;0.8;0.8;0.8;
3;0.6;0.8;0.6;0.7;0.8;0.6;
4;0.8;0.8;0.7;0.8;0.5;0.6;
5;0.9;0.9;0.9;0.9;0.8;0.6;
6;0.8;0.7;0.7;0.8;0.6;0.5;
7;0.5;0.6;0.9;0.6;0.8;0.3;
8;0.8;0.8;0.6;0.7;0.6;0.7;
9;0.8;0.8;0.5;0.8;0.8;0.7;
10;0.7;0.7;0.7;0.6;0.7;0.5;
11;0.8;0.8;0.3;0.7;0.7;0.7;
12;0.6;0.6;0.4;0.8;0.8;0.8;
13;0.8;0.8;0.5;0.7;0.6;0.5;
14;0.8;0.8;0.5;0.6;0.8;0.9;
15;0.7;0.7;0.8;0.5;0.7;0.6;
16;0.6;0.7;0.3;0.9;0.9;0.5;
17;0.6;0.5;0.4;0.5;0.7;0.5;
18;0.7;0.7;0.5;0.5;0.6;0.6;
19;0.9;0.8;0.8;0.7;0.8;0.7;
20;0.6;0.7;0.8;0.7;0.7;0.6;
21;0.6;0.6;0.4;0.6;0.7;0.5;
22;0.6;0.5;0.8;1.0;1.0;1.0;
23;0.7;0.7;0.6;0.7;0.7;0.7;
24;0.8;0.7;0.7;0.8;0.8;0.6;
25;1.0;0.9;0.8;0.8;0.8;0.2;
26;0.7;0.9;0.7;0.5;0.5;0.5;
27;0.8;0.7;0.4;0.6;0.4;0.7;
28;0.8;0.6;0.4;1.0;0.8;0.5;
29;0.8;0.8;0.7;0.4;0.5;0.6;
30;0.6;0.6;0.7;0.6;0.6;0.6;
31;0.8;0.8;0.7;0.6;0.7;0.5;



method;ANOVA;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.7;0.7;0.5;0.7;0.9;0.5;
1;0.6;0.7;0.5;0.7;0.5;0.5;
2;0.8;0.8;0.4;0.8;0.8;0.7;
3;0.6;0.8;0.6;0.6;0.6;0.5;
4;0.6;0.4;0.8;0.2;0.2;0.6;
5;0.9;0.8;0.9;0.8;0.7;0.7;
6;0.8;0.6;0.7;0.7;0.6;0.4;
7;0.7;0.8;0.3;0.7;0.8;0.6;
8;1.0;0.9;0.4;0.7;0.5;0.6;
9;0.8;0.8;0.5;0.5;0.7;0.3;
10;0.7;0.7;0.6;0.8;0.6;0.5;
11;0.6;0.7;0.3;0.7;0.7;0.7;
12;0.6;0.6;0.4;0.8;0.8;0.8;
13;0.8;0.8;0.3;0.5;0.7;0.5;
14;0.8;0.6;0.2;0.8;0.7;0.6;
15;0.6;0.6;0.6;0.8;0.8;0.4;
16;0.7;0.6;0.4;0.8;0.9;0.4;
17;0.5;0.4;0.3;0.5;0.7;0.7;
18;0.6;0.7;0.4;0.6;0.6;0.6;
19;0.8;0.9;0.8;0.7;0.8;0.7;
20;0.8;0.7;0.6;0.7;0.7;0.7;
21;0.6;0.6;0.5;1.0;1.0;0.7;
22;0.5;0.7;0.7;0.9;0.8;0.8;
23;0.7;0.8;0.6;0.7;0.7;0.7;
24;0.6;0.6;0.5;0.8;0.7;0.7;
25;0.9;0.7;0.8;0.7;0.6;0.6;
26;0.8;0.8;0.7;0.5;0.5;0.6;
27;0.9;0.7;0.6;0.6;0.6;0.5;
28;0.5;0.6;0.7;0.6;0.7;0.6;
29;0.7;0.8;0.7;0.4;0.7;0.6;
30;0.5;0.7;0.4;0.3;0.7;0.7;
31;0.8;0.8;0.5;0.5;0.4;0.5;



method;LDA;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.2;0.2;0.5;0.5;0.5;0.5;
1;0.8;0.4;0.4;0.6;0.5;0.5;
2;0.3;0.5;0.6;0.8;0.8;0.8;
3;0.4;0.8;0.6;0.4;0.4;0.6;
4;0.7;0.3;0.5;0.6;0.7;0.3;
5;0.9;0.9;0.9;0.6;0.7;0.4;
6;0.8;0.7;0.7;0.4;0.4;0.4;
7;0.4;0.5;0.6;0.6;0.9;0.6;
8;0.9;0.8;0.7;0.6;0.8;0.6;
9;0.8;0.8;0.7;0.6;0.7;0.8;
10;0.7;0.6;0.8;0.5;0.4;0.4;
11;0.6;0.8;0.4;0.7;0.7;0.7;
12;0.6;0.6;0.4;0.8;0.8;0.8;
13;0.6;0.6;0.4;0.5;0.5;0.5;
14;0.8;0.9;0.2;0.7;0.7;0.4;
15;0.6;0.6;0.4;0.9;0.9;0.4;
16;0.5;0.5;0.4;0.7;0.6;0.4;
17;0.6;0.6;0.3;0.4;0.6;0.6;
18;0.5;0.7;0.6;0.6;0.6;0.6;
19;0.9;0.8;0.6;0.7;0.7;0.7;
20;0.3;0.5;0.6;0.7;0.7;0.7;
21;0.5;0.6;0.2;0.8;0.6;0.5;
22;0.6;0.6;0.6;1.0;1.0;0.9;
23;0.8;0.5;0.7;0.7;0.7;0.7;
24;0.3;0.2;0.5;0.7;0.8;0.8;
25;0.7;0.7;0.8;0.7;0.6;0.6;
26;0.7;0.7;0.7;0.5;0.6;0.6;
27;0.6;0.7;0.7;0.6;0.8;0.5;
28;0.6;0.4;0.6;0.7;0.6;0.6;
29;0.8;0.8;0.7;0.6;0.7;0.6;
30;0.5;0.6;0.5;0.5;0.7;0.7;
31;0.6;0.6;0.5;0.6;0.6;0.5;



method;PCA;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.6;0.6;0.7;0.5;0.5;0.6;
1;0.7;0.7;0.6;0.5;0.5;0.6;
2;0.7;0.7;0.5;0.8;0.8;0.8;
3;0.6;0.6;0.6;0.6;0.6;0.7;
4;0.5;0.5;0.5;0.3;0.3;0.3;
5;0.9;0.9;0.9;0.7;0.7;0.6;
6;0.6;0.6;0.7;0.4;0.4;0.4;
7;0.5;0.4;0.4;0.6;0.6;0.5;
8;0.8;0.9;0.6;0.5;0.5;0.6;
9;0.8;0.8;0.3;0.4;0.4;0.6;
10;0.6;0.6;0.8;0.5;0.5;0.5;
11;0.6;0.6;0.5;0.7;0.7;0.7;
12;0.6;0.6;0.5;0.8;0.8;0.8;
13;0.8;0.8;0.7;0.5;0.5;0.5;
14;0.4;0.4;0.3;0.4;0.4;0.5;
15;0.6;0.6;0.8;0.4;0.4;0.5;
16;0.3;0.3;0.5;0.4;0.4;0.4;
17;0.4;0.4;0.4;0.6;0.6;0.6;
18;0.7;0.7;0.6;0.6;0.6;0.6;
19;0.7;0.7;0.8;0.7;0.7;0.7;
20;0.4;0.4;0.6;0.7;0.7;0.7;
21;0.6;0.6;0.5;0.6;0.6;0.5;
22;0.6;0.6;0.7;1.0;1.0;1.0;
23;0.3;0.3;0.6;0.7;0.7;0.7;
24;0.3;0.3;0.5;0.8;0.8;0.8;
25;0.7;0.7;0.7;0.5;0.5;0.4;
26;0.7;0.7;0.6;0.6;0.6;0.6;
27;0.8;0.8;0.4;0.7;0.7;0.4;
28;0.7;0.7;0.6;0.5;0.5;0.6;
29;0.7;0.7;0.7;0.5;0.5;0.5;
30;0.4;0.5;0.5;0.5;0.5;0.5;
31;0.6;0.6;0.5;0.5;0.5;0.5;



